ÁLMOMBAN	VIZSGÁZNI
.	Bár
Bár	a
a	nagy
nagy	bukás
bukás	elõtt
elõtt	mindig
mindig	fölébredek
fölébredek	,
,	megállapítom
megállapítom	szobám
szobám	tárgyait
tárgyait	,
,	egy
egy	másik
másik	éjjel
éjjel	ebbe
ebbe	az
az	álomba
álomba	megint
megint	belehullok
belehullok	.
.	Végiggondolom
Végiggondolom	-
-	csak
csak	az
az	összeadást
összeadást	és
és	a
a	kivonást
kivonást	nem
nem	felejtettem
felejtettem	el
el	-
-	,
,	méltó
méltó	vagyok
vagyok	a
a	büntetésre
büntetésre	.
.	Mert
Mert	nem
nem	õriztem
õriztem	meg
meg	a
a	tudást
tudást	,
,	alig
alig	vittem
vittem	valamire
valamire	,
,	míg
míg	a
a	halhatatlanság
halhatatlanság	kerti
kerti	várait
várait	rakosgattam
rakosgattam	idegen
idegen	ház
ház	udvarában
udvarában	.
.	Az
Az	a
a	könyv
könyv	évek
évek	óta
óta	nem
nem	volt
volt	kezemben
kezemben	,
,	hogyan
hogyan	is
is	érettségizhetnék
érettségizhetnék	annak
annak	a
a	kornak
kornak	az
az	elején
elején	,
,	mikor
mikor	már
már	felnõttnek
felnõttnek	szokták
szokták	mondani
mondani	az
az	embert
embert	?
?	Tiszta
Tiszta	logika
logika	a
a	viselkedésben
viselkedésben	,
,	megélni
megélni	a
a	törvényt
törvényt	,
,	pontosan
pontosan	készülni
készülni	amire
amire	kell
kell	,
,	illendõen
illendõen	kelni
kelni	és
és	feküdni
feküdni	,
,	a
a	kérdésre
kérdésre	válaszolni
válaszolni	,
,	ismerni
ismerni	a
a	határt
határt	,
,	tudni
tudni	a
a	számtant
számtant	.
.	Osztálytársaim
Osztálytársaim	tudják
tudják	,
,	nincsenek
nincsenek	is
is	a
a	képben
képben	.
.	Miért
Miért	is
is	lennének
lennének	,
,	mit
mit	beszélgethetnénk
beszélgethetnénk	a
a	bajról
bajról	?
?	Lehiggadtak
Lehiggadtak	,
,	leérettségiztek
leérettségiztek	,
,	magabiztosak
magabiztosak	,
,	a
a	fõnökük
fõnökük	nem
nem	tanáruk
tanáruk	.
.	Minden
Minden	ébredéskor
ébredéskor	irigylem
irigylem	õket
õket	.
.	Magamnak
Magamnak	meg
meg	végre
végre	a
a	bukást
bukást	szeretném
szeretném	.
.	Megjelenne
Megjelenne	valaki
valaki	,
,	elítélne
elítélne	,
,	és
és	fölszabadulnék
fölszabadulnék	.
.	Megmondaná
Megmondaná	,
,	mire
mire	való
való	volt
volt	ez
ez	az
az	idõhúzás
idõhúzás	,
,	megmondaná
megmondaná	,
,	miféle
miféle	ember
ember	lehetek
lehetek	ítéletétõl
ítéletétõl	.
.	VALLOMÁS
VALLOMÁS	AZ
AZ	ELSZAKADÁSRÓL
ELSZAKADÁSRÓL	Augusztus
Augusztus	valamelyik
valamelyik	utolsó
utolsó	napján
napján	,
,	tizennégy
tizennégy	éves
éves	koromban
koromban	,
,	a
a	falunktól
falunktól	hat
hat	kilométerre
kilométerre	húzódó
húzódó	vasútra
vasútra	vitt
vitt	apám
apám	.
.	Elsõ
Elsõ	gimnáziumi
gimnáziumi	évemet
évemet	vártam
vártam	.
.	Örültem
Örültem	a
a	más
más	városnak
városnak	,
,	a
a	változásnak
változásnak	,
,	a
a	gyerekkor
gyerekkor	végének
végének	.
.	Együtt
Együtt	ültünk
ültünk	a
a	szekéren
szekéren	barátommal
barátommal	.
.	Õ
Õ	Pestre
Pestre	készült
készült	,
,	iparitanuló-intézetbe
iparitanuló-intézetbe	.
.	Félúton
Félúton	elkezdett
elkezdett	sírni
sírni	.
.	Sírását
Sírását	örömemhez
örömemhez	képest
képest	nevetségesnek
nevetségesnek	éreztem
éreztem	.
.	Ha
Ha	erre
erre	a
a	kocsizásra
kocsizásra	visszagondolok
visszagondolok	,
,	elszorul
elszorul	a
a	szívem
szívem	,
,	szeretném
szeretném	pótolni
pótolni	régi
régi	mulasztásomat
mulasztásomat	,
,	szeretném
szeretném	azt
azt	az
az	elszakadást
elszakadást	elsiratni
elsiratni	.
.	Egyre
Egyre	sûrûsödtek
sûrûsödtek	a
a	búcsúzások
búcsúzások	,
,	lassan
lassan	megritkultak
megritkultak	,
,	búcsúzó
búcsúzó	,
,	búcsúztató
búcsúztató	is
is	alig
alig	maradt
maradt	.
.	A
A	múltkoriban
múltkoriban	otthon
otthon	voltam
voltam	.
.	Említett
Említett	barátom
barátom	apját
apját	akkor
akkor	temették
temették	.
.	Nyaranta
Nyaranta	hazajárok
hazajárok	feleségemmel
feleségemmel	,
,	gyerekemmel
gyerekemmel	.
.	Mindig
Mindig	csak
csak	öregekkel
öregekkel	találkozunk
találkozunk	.
.	Néha
Néha	arra
arra	gondolok
gondolok	,
,	össze
össze	kellene
kellene	egyeztetni
egyeztetni	a
a	szabadságot
szabadságot	néhány
néhány	régi
régi	jó
jó	baráttal
baráttal	,
,	hogy
hogy	egy
egy	kis
kis	hangulatot
hangulatot	csináljunk
csináljunk	egymásnak
egymásnak	is
is	,
,	meg
meg	az
az	öregeknek
öregeknek	is
is	.
.	De
De	hát
hát	nem
nem	megy
megy	ez
ez	már
már	!
!	Nézegettem
Nézegettem	egy
egy	helytörténeti
helytörténeti	lexikont
lexikont	.
.	Tele
Tele	volt
volt	letûnt
letûnt	falukkal
falukkal	.
.	Kísértenek
Kísértenek	a
a	beszántott
beszántott	fundamentumok
fundamentumok	.
.	Két
Két	öreget
öreget	hagytunk
hagytunk	otthon
otthon	négy
négy	testvér
testvér	.
.	Szomszédjukban
Szomszédjukban	egy
egy	özvegyasszony
özvegyasszony	lakik
lakik	,
,	szomszédjában
szomszédjában	szintén
szintén	egy
egy	özvegyasszony
özvegyasszony	,
,	s
s	ez
ez	az
az	özvegyi
özvegyi	egyedüllét
egyedüllét	vagy
vagy	két
két	öreg
öreg	magánya
magánya	ismétlõdik
ismétlõdik	tovább
tovább	túl
túl	a
a	bolton
bolton	,
,	a
a	templomon
templomon	,
,	a
a	kocsmán
kocsmán	,
,	az
az	iskolán
iskolán	.
.	Nagyon
Nagyon	sokszor
sokszor	találkozom
találkozom	Pesten
Pesten	falumbeli
falumbeli	villamoskalauzzal
villamoskalauzzal	,
,	szövõnõvel
szövõnõvel	,
,	kõmûvessel
kõmûvessel	,
,	hajógyári
hajógyári	segédmunkással
segédmunkással	,
,	lakatossal
lakatossal	,
,	mérnökkel
mérnökkel	.
.	Feleségem
Feleségem	csak
csak	nevet
nevet	:
:	hogyan
hogyan	születhetett
születhetett	ennyi
ennyi	ember
ember	akkora
akkora	kis
kis	faluban
faluban	?
?	!
!	Minden
Minden	közösségnek
közösségnek	élete
élete	,
,	közérzete
közérzete	,
,	boldogsága
boldogsága	a
a	benne
benne	lakó
lakó	fiatalok
fiatalok	számától
számától	függ
függ	.
.	Az
Az	ifjúság
ifjúság	énekétõl
énekétõl	,
,	táncától
táncától	,
,	szerelmétõl
szerelmétõl	derülnek
derülnek	az
az	öregek
öregek	napjai
napjai	.
.	Otthon
Otthon	már
már	pletykák
pletykák	sincsenek
sincsenek	.
.	Gyermekkoromban
Gyermekkoromban	még
még	a
a	pletyka
pletyka	volt
volt	a
a	népmese
népmese	,
,	a
a	népballada
népballada	,
,	a
a	népi
népi	komédia
komédia	utolsó
utolsó	formája
formája	,
,	az
az	utolsó
utolsó	szellemi
szellemi	közeg
közeg	,
,	s
s	ami
ami	a
a	lelki
lelki	foglalkoztatottságot
foglalkoztatottságot	illeti
illeti	,
,	nem
nem	hiszem
hiszem	,
,	hogy
hogy	pótolná
pótolná	a
a	minden
minden	házban
házban	szóló
szóló	rádió
rádió	,
,	a
a	vasárnapi
vasárnapi	mozizás
mozizás	s
s	az
az	a
a	néhány
néhány	televízió
televízió	.
.	Szomorú
Szomorú	,
,	hogy
hogy	nyomunkban
nyomunkban	mekkora
mekkora	üresség
üresség	támadt
támadt	.
.	Nem
Nem	sejthette
sejthette	barátom
barátom	sem
sem	,
,	amikor
amikor	a
a	szekéren
szekéren	elpityeredett
elpityeredett	.
.	Akkori
Akkori	örömöm
örömöm	miatt
miatt	azért
azért	érzek
érzek	ma
ma	is
is	lelkifurdalást
lelkifurdalást	.
.	Ország
Ország	a
a	vaskeréken
vaskeréken	Budapest
Budapest	150
150	kilométerre
kilométerre	,
,	a
a	Balaton
Balaton	50
50	kilométerre
kilométerre	van
van	falumtól
falumtól	.
.	Az
Az	idõsebb
idõsebb	nemzedéknél
nemzedéknél	és
és	a
a	mi
mi	gyermekkorunkban
gyermekkorunkban	ez
ez	a
a	két
két	nevezetes
nevezetes	hely
hely	olyan
olyan	volt
volt	,
,	mint
mint	a
a	hetedhét
hetedhét	országon
országon	túli
túli	üveghegy
üveghegy	,
,	rézerdõ
rézerdõ	,
,	mesebeli
mesebeli	táj
táj	.
.	Akik
Akik	megjárták
megjárták	útjait
útjait	,
,	mesebeliekké
mesebeliekké	változtak
változtak	maguk
maguk	is
is	.
.	Szavukat
Szavukat	áhítatosan
áhítatosan	hallgattuk
hallgattuk	,
,	mert
mert	különösnek
különösnek	tûnt
tûnt	,
,	és
és	jó
jó	lett
lett	volna
volna	mindazt
mindazt	látni
látni	,
,	amit
amit	õk
õk	láttak
láttak	.
.	A
A	falubeliek
falubeliek	mozgáskörzete
mozgáskörzete	legfeljebb
legfeljebb	a
a	megyeszékhely
megyeszékhely	lehetett
lehetett	,
,	de
de	már
már	pereskedésüket
pereskedésüket	is
is	legtöbbször
legtöbbször	elintézte
elintézte	a
a	járásbíróság
járásbíróság	,
,	adásvételi
adásvételi	ügyeiket
ügyeiket	a
a	járási
járási	piac
piac	és
és	a
a	szomszéd
szomszéd	falu
falu	vására
vására	.
.	Mindenhova
Mindenhova	lovaskocsival
lovaskocsival	mentek
mentek	.
.	Anyám
Anyám	ötvenéves
ötvenéves	korában
korában	látta
látta	elõször
elõször	a
a	Balatont
Balatont	,
,	a
a	kirándulást
kirándulást	szervezõ
szervezõ	földmûvesszövetkezet
földmûvesszövetkezet	jóvoltából
jóvoltából	.
.	A
A	falumbeliek
falumbeliek	fele
fele	Pestet
Pestet	és
és	a
a	Balatont
Balatont	ma
ma	sem
sem	látta
látta	,
,	elsõsorban
elsõsorban	az
az	asszonyok
asszonyok	közül
közül	.
.	Csak
Csak	az
az	autóbuszok
autóbuszok	és
és	a
a	vonatok
vonatok	menetrendjét
menetrendjét	ismerik
ismerik	,
,	melyekkel
melyekkel	hozzátartozóik
hozzátartozóik	mennek
mennek	és
és	érkeznek
érkeznek	látogatásra
látogatásra	.
.	A
A	téesz
téesz	alakulásának
alakulásának	évében
évében	,
,	miután
miután	a
a	lovakat
lovakat	elvitték
elvitték	,
,	rendszeres
rendszeres	és
és	imponáló
imponáló	gyakoriságú
gyakoriságú	autóbuszjárattal
autóbuszjárattal	kötötték
kötötték	össze
össze	a
a	falut
falut	és
és	a
a	vasútállomást
vasútállomást	.
.	Reggel
Reggel	hattól
hattól	este
este	nyolcig
nyolcig	háromóránként
háromóránként	járnak
járnak	autóbuszok
autóbuszok	.
.	A
A	vonatok
vonatok	járását
járását	is
is	sûrítették
sûrítették	:
:	van
van	gyors
gyors	,
,	személy
személy	,
,	gyorsított
gyorsított	személy
személy	,
,	helyi
helyi	,
,	két
két	várost
várost	összekötõ
összekötõ	motoros
motoros	.
.	A
A	személyt
személyt	félreállítják
félreállítják	,
,	hogy
hogy	a
a	gyorsvonat
gyorsvonat	kikerülhesse
kikerülhesse	,
,	a
a	távolsági
távolsági	személy
személy	elé
elé	mentesítõt
mentesítõt	állítanak
állítanak	,
,	hogy
hogy	felvehesse
felvehesse	a
a	bejáró
bejáró	munkásokat
munkásokat	.
.	Beutazhatnak
Beutazhatnak	a
a	gyors
gyors	legközelebbi
legközelebbi	megállójára
megállójára	,
,	átszállhatnak
átszállhatnak	a
a	két
két	kocsiból
kocsiból	álló
álló	helyi
helyi	járatról
járatról	.
.	Mindegyik
Mindegyik	vonat
vonat	zsúfolt
zsúfolt	,
,	lépcsõig
lépcsõig	tömötten
tömötten	húz
húz	át
át	a
a	vidék
vidék	csöndjén
csöndjén	.
.	A
A	cigarettafüstben
cigarettafüstben	,
,	a
a	nyirkos
nyirkos	huzattal
huzattal	kevert
kevert	melegségben
melegségben	új
új	életforma
életforma	érlelõdik
érlelõdik	.
.	Mindenki
Mindenki	otthonosan
otthonosan	érzi
érzi	magát
magát	.
.	Az
Az	emlékeimben
emlékeimben	élõ
élõ	félszeg
félszeg	parasztok
parasztok	meglehetõsen
meglehetõsen	hiányoznak
hiányoznak	,
,	akik
akik	gyermekkori
gyermekkori	utazásaimban
utazásaimban	könyöküket
könyöküket	testükhöz
testükhöz	szorítva
szorítva	ültek
ültek	egyenesen
egyenesen	,
,	feszesen
feszesen	,
,	szótlanul
szótlanul	,
,	ölükben
ölükben	a
a	csuhészatyorral
csuhészatyorral	.
.	Ahogy
Ahogy	szabad
szabad	ülõhely
ülõhely	akad
akad	a
a	kocsiban
kocsiban	,
,	röstelkedés
röstelkedés	nélkül
nélkül	megfér
megfér	egymás
egymás	mellett
mellett	a
a	társadalmi
társadalmi	helyzet
helyzet	,
,	az
az	öltözet
öltözet	és
és	nyelvjárás
nyelvjárás	sokfélesége
sokfélesége	.
.	Fölszáll
Fölszáll	az
az	építõipari
építõipari	segédmunkás
segédmunkás	,
,	leül
leül	a
a	tisztviselõ-külsejû
tisztviselõ-külsejû	társasághoz
társasághoz	,
,	vár
vár	egy
egy	ideig
ideig	,
,	amikor
amikor	odaillõ
odaillõ	,
,	amit
amit	mondani
mondani	akar
akar	,
,	vagy
vagy	az
az	elmondottak
elmondottak	által
által	találva
találva	érzi
érzi	magát
magát	,
,	megszólal
megszólal	.
.	Gyanútlan
Gyanútlan	a
a	jelenvalókkal
jelenvalókkal	,
,	a
a	jelenvalók
jelenvalók	is
is	gyanútlanok
gyanútlanok	vele
vele	.
.	Egyféle
Egyféle	viszonyban
viszonyban	van
van	mindenkivel
mindenkivel	:
:	magyar
magyar	ember
ember	a
a	nyelve
nyelve	által
által	.
.	Megragadnak
Megragadnak	minden
minden	alkalmat
alkalmat	,
,	hogy
hogy	az
az	utazás
utazás	ideje
ideje	látszólag
látszólag	megrövidüljön
megrövidüljön	,
,	találékonysággal
találékonysággal	:
:	kártyával
kártyával	,
,	ivással
ivással	,
,	"
"	nõzéssel
nõzéssel	"
"	,
,	újságolvasással
újságolvasással	,
,	beszélgetéssel
beszélgetéssel	gyorsítják
gyorsítják	az
az	idõt
idõt	-
-	s
s	valójában
valójában	jól
jól	érzik
érzik	magukat
magukat	.
.	Négy
Négy	órája
órája	állok
állok	már
már	a
a	vonatablaknál
vonatablaknál	.
.	A
A	szemközti
szemközti	fülke
fülke	sarkában
sarkában	ül
ül	egy
egy	kisöreg
kisöreg	,
,	látszatra
látszatra	ipari
ipari	tanuló
tanuló	.
.	Olyan
Olyan	kicsi
kicsi	,
,	hogy
hogy	lábai
lábai	a
a	padlót
padlót	alig
alig	érik
érik	.
.	Hangját
Hangját	nem
nem	hallom
hallom	,
,	de
de	az
az	utasok
utasok	szenvednek
szenvednek	a
a	nevetéstõl
nevetéstõl	.
.	A
A	kis
kis	bohócok
bohócok	ravaszságával
ravaszságával	vigyorog
vigyorog	,
,	szemét
szemét	behunyja
behunyja	,
,	mintha
mintha	gondolkodna
gondolkodna	,
,	aztán
aztán	szája
szája	egy
egy	rövid
rövid	mondatra
mondatra	mozdul
mozdul	.
.	Fölharsog
Fölharsog	mindenki
mindenki	.
.	Ujjait
Ujjait	úgy
úgy	kulcsolgatja
kulcsolgatja	a
a	levegõben
levegõben	,
,	mintha
mintha	árnyjátékot
árnyjátékot	rögtönözne
rögtönözne	,
,	mint
mint	ahogy
ahogy	nyulat
nyulat	,
,	kutyát
kutyát	,
,	kecskét
kecskét	mutatnak
mutatnak	a
a	falra
falra	.
.	Hirtelen
Hirtelen	térdét
térdét	csapkodja
csapkodja	,
,	arca
arca	komoly
komoly	,
,	szája
szája	összezárva
összezárva	,
,	már
már	elõre
elõre	új
új	röhej
röhej	tör
tör	ki
ki	,
,	pedig
pedig	még
még	nem
nem	is
is	tudják
tudják	,
,	mit
mit	mond
mond	majd
majd	.
.	Az
Az	utasok
utasok	valóban
valóban	jól
jól	érzik
érzik	magukat
magukat	,
,	bár
bár	többször
többször	elsóhajtják
elsóhajtják	:
:	"
"	Jaj
Jaj	,
,	mikor
mikor	érek
érek	már
már	haza
haza	!
!	Mikor
Mikor	lesz
lesz	már
már	ennek
ennek	vége
vége	!
!	"
"	-
-	mert
mert	az
az	utazás
utazás	ideiglenessé
ideiglenessé	teszi
teszi	a
a	jóérzést
jóérzést	,
,	még
még	akkor
akkor	is
is	,
,	ha
ha	a
a	rendszeresen
rendszeresen	utazóknál
utazóknál	ezek
ezek	az
az	ideiglenes
ideiglenes	örömök
örömök	szinte
szinte	életformává
életformává	válnak
válnak	.
.	A
A	vonat
vonat	lehetõséget
lehetõséget	ad
ad	a
a	szabad
szabad	viselkedésre
viselkedésre	.
.	A
A	faluról
faluról	elszakadt
elszakadt	fiatalok
fiatalok	általában
általában	alacsony
alacsony	beosztásúak
beosztásúak	,
,	munkahelyükön
munkahelyükön	a
a	függõségi
függõségi	viszonyok
viszonyok	tömkelege
tömkelege	áll
áll	felettük
felettük	,
,	lakásukon
lakásukon	a
a	fõbérlõ
fõbérlõ	vagy
vagy	a
a	munkásszállói
munkásszállói	gondnok
gondnok	rigolyáinak
rigolyáinak	vannak
vannak	kitéve
kitéve	,
,	meg
meg	a
a	kollektíva
kollektíva	véleményének
véleményének	is
is	;
;	amikor
amikor	hazalátogatnak
hazalátogatnak	,
,	az
az	otthoni
otthoni	elmaradt
elmaradt	munkákat
munkákat	kell
kell	bepótolniuk
bepótolniuk	.
.	Számukra
Számukra	az
az	utazás
utazás	csak
csak	annyira
annyira	rossz
rossz	,
,	amennyire
amennyire	az
az	utazási
utazási	körülmények
körülmények	kulturálatlanok
kulturálatlanok	,
,	mert
mert	mindig
mindig	akkor
akkor	utaznak
utaznak	,
,	amikor
amikor	az
az	egész
egész	réteg
réteg	utazik
utazik	,
,	kettõs
kettõs	ünnepek
ünnepek	elõtt
elõtt	,
,	szombatokon
szombatokon	haza
haza	,
,	vasárnap
vasárnap	este
este	,
,	éjjel
éjjel	,
,	hétfõn
hétfõn	kora
kora	reggel
reggel	visszafelé
visszafelé	.
.	Utaztam
Utaztam	úgy
úgy	haza
haza	már
már	,
,	hogy
hogy	a
a	lépcsõ
lépcsõ	volt
volt	az
az	ülõhelyem
ülõhelyem	,
,	fönt
fönt	még
még	a
a	klozettban
klozettban	is
is	álltak
álltak	,
,	szükség
szükség	esetén
esetén	tragikomikus
tragikomikus	helyzetek
helyzetek	alakultak
alakultak	,
,	nevetés
nevetés	,
,	veszekedés
veszekedés	az
az	ajtó
ajtó	elõtt
elõtt	.
.	Tízfokos
Tízfokos	hidegben
hidegben	vártunk
vártunk	az
az	autóbuszra
autóbuszra	este
este	héttõl
héttõl	éjfélig
éjfélig	egy
egy	restiben
restiben	,
,	nem
nem	csinálhattunk
csinálhattunk	mást
mást	,
,	mint
mint	ittunk
ittunk	,
,	s
s	késõbb
késõbb	már
már	féltünk
féltünk	a
a	fagyhaláltól
fagyhaláltól	,
,	mert
mert	mi
mi	lesz
lesz	,
,	ha
ha	nem
nem	jön
jön	az
az	autóbusz
autóbusz	,
,	már
már	hét
hét	óra
óra	tíz
tíz	perckor
perckor	itt
itt	lett
lett	volna
volna	az
az	ideje
ideje	.
.	Legutóbb
Legutóbb	húsz
húsz	percet
percet	késõ
késõ	vonatunkat
vonatunkat	nem
nem	várta
várta	meg
meg	a
a	busz
busz	,
,	gyalogoltunk
gyalogoltunk	az
az	árok
árok	szélén
szélén	öt
öt	falu
falu	felé
felé	,
,	amíg
amíg	egy
egy	teherautó
teherautó	bevitt
bevitt	minket
minket	az
az	elsõ
elsõ	faluig
faluig	,
,	álltunk
álltunk	egymáshoz
egymáshoz	szorulva
szorulva	,
,	egymásba
egymásba	kapaszkodva
kapaszkodva	,
,	kanyaroknál
kanyaroknál	és
és	döccenõknél
döccenõknél	tele
tele	a
a	borulás
borulás	elõtti
elõtti	izgatottsággal
izgatottsággal	.
.	A
A	vonatozó
vonatozó	fiatalok
fiatalok	rugalmasak
rugalmasak	,
,	a
a	kényelmetlenségek
kényelmetlenségek	nem
nem	teszik
teszik	õket
õket	szótlan
szótlan	mogorvákká
mogorvákká	vagy
vagy	mindig
mindig	zsörtölõdõkké
zsörtölõdõkké	.
.	Két
Két	szembe-lógó
szembe-lógó	hajú
hajú	fiú
fiú	énekel
énekel	végig
végig	a
a	zsúfolt
zsúfolt	folyosón
folyosón	,
,	billeg
billeg	lábujjhegyen
lábujjhegyen	,
,	kezükkel
kezükkel	a
a	magasban
magasban	kell
kell	evezniük
evezniük	,
,	a
a	kalapok
kalapok	között
között	.
.	Õk
Õk	csak
csak	énekelnek
énekelnek	és
és	tolakszanak
tolakszanak	a
a	büfé
büfé	felé
felé	.
.	Útjukban
Útjukban	kalapokat
kalapokat	vernek
vernek	le
le	,
,	nõk
nõk	elsõ
elsõ	részén
részén	siklanak
siklanak	át
át	,
,	cipõkre
cipõkre	lépnek
lépnek	.
.	És
És	megszólal
megszólal	az
az	,
,	aki
aki	soha
soha	semmit
semmit	nem
nem	enged
enged	szótlanul
szótlanul	:
:	-
-	Nem
Nem	hagynák
hagynák	abba
abba	?
?	!
!	-
-	Mert
Mert	bárhogyan
bárhogyan	eljuthatnak
eljuthatnak	a
a	büfékocsiig
büfékocsiig	,
,	nõt
nõt	is
is	találhatnak
találhatnak	mindig
mindig	,
,	jut
jut	egy
egy	szerelvényen
szerelvényen	valaki
valaki	,
,	akivel
akivel	elszórakozhatnak
elszórakozhatnak	így-úgy
így-úgy	,
,	akár
akár	nevettethetik
nevettethetik	kétértelmû
kétértelmû	szóval
szóval	,
,	akár
akár	átölelhetik
átölelhetik	,
,	akár
akár	pirulósra
pirulósra	bámulhatják
bámulhatják	az
az	ártatlanabbat
ártatlanabbat	.
.	S
S	végtére
végtére	a
a	vonat
vonat	közönségének
közönségének	kétharmad
kétharmad	része
része	a
a	csúcsforgalomban
csúcsforgalomban	is
is	ül
ül	.
.	Akik
Akik	nagyon
nagyon	messze
messze	utaznak
utaznak	,
,	a
a	fele
fele	útnál
útnál	legtöbbször
legtöbbször	leülhetnek
leülhetnek	,
,	mert
mert	fele
fele	útig
útig	a
a	fele
fele	utas
utas	leszáll
leszáll	.
.	Megfigyeltem
Megfigyeltem	,
,	az
az	álló
álló	utasok
utasok	idõtöltése
idõtöltése	sokkal
sokkal	látványosabb
látványosabb	,
,	sokkal
sokkal	többen
többen	isznak
isznak	közülük
közülük	,
,	több
több	a
a	leszólítás
leszólítás	,
,	a
a	hangoskodás
hangoskodás	,
,	és
és	több
több	a
a	látványos
látványos	,
,	magába
magába	forduló
forduló	mogorvaság
mogorvaság	is
is	.
.	S
S	az
az	emberek
emberek	nagy
nagy	része
része	megváltozik
megváltozik	,
,	amikor
amikor	ülõhelyet
ülõhelyet	talál
talál	magának
magának	;
;	a
a	hangosak
hangosak	lecsöndesednek
lecsöndesednek	,
,	a
a	zárkózottak
zárkózottak	fölengednek
fölengednek	,
,	elõbbi
elõbbi	ingerlékenységük
ingerlékenységük	helyett
helyett	elvegyülnek
elvegyülnek	a
a	mindennapi
mindennapi	,
,	õszinte
õszinte	beszélgetésbe
beszélgetésbe	,
,	miután
miután	sajnálják
sajnálják	már
már	,
,	hogy
hogy	talán
talán	sohasem
sohasem	láthatják
láthatják	egymást
egymást	.
.	Önérzetes
Önérzetes	honfoglalás
honfoglalás	Amikor
Amikor	vidékrõl
vidékrõl	jövet
jövet	kijutok
kijutok	a
a	pályaudvar
pályaudvar	kapuján
kapuján	,
,	kicsit
kicsit	röstelkedve
röstelkedve	lépkedek
lépkedek	sáros
sáros	cipõmben
cipõmben	-
-	sáros
sáros	vagy
vagy	poros
poros	cipõm
cipõm	jelképe
jelképe	még
még	ma
ma	is
is	ott
ott	,
,	a
